시간,수요량,year,day_of_year
1,656.378,17,1
2,621.408,17,1
3,589.7,17,1
4,573.419,17,1
5,570.036,17,1
6,582.28,17,1
7,602.341,17,1
8,602.859,17,1
9,589.152,17,1
10,549.536,17,1
11,542.237,17,1
12,531.976,17,1
13,524.731,17,1
14,518.877,17,1
15,514.722,17,1
16,516.666,17,1
17,533.692,17,1
18,597.41,17,1
19,644.14,17,1
20,639.266,17,1
21,632.794,17,1
22,621.849,17,1
23,628.381,17,1
24,628.715,17,1
1,586.422,17,2
2,554.643,17,2
3,534.583,17,2
4,526.58,17,2
5,534.727,17,2
6,552.478,17,2
7,575.498,17,2
8,604.49,17,2
9,654.646,17,2
10,680.611,17,2
11,674.699,17,2
12,665.222,17,2
13,629.074,17,2
14,628.667,17,2
15,623.171,17,2
16,619.558,17,2
17,631.196,17,2
18,664.099,17,2
19,702.374,17,2
20,696.948,17,2
21,676.864,17,2
22,658.1,17,2
23,653.553,17,2
24,654.272,17,2
1,615.448,17,3
2,583.552,17,3
3,562.464,17,3
4,554.712,17,3
5,565.416,17,3
6,585.445,17,3
7,611.389,17,3
8,639.643,17,3
9,668.396,17,3
10,647.479,17,3
11,639.616,17,3
12,625.621,17,3
13,595.37,17,3
14,605.55,17,3
15,602.497,17,3
16,599.568,17,3
17,613.027,17,3
18,667.579,17,3
19,730.349,17,3
20,728.496,17,3
21,711.42,17,3
22,684.298,17,3
23,675.868,17,3
24,677.63,17,3
1,639.216,17,4
2,605.161,17,4
3,587.747,17,4
4,579.132,17,4
5,586.761,17,4
6,606.69,17,4
7,635.172,17,4
8,663.844,17,4
9,689.901,17,4
10,659.873,17,4
11,648.561,17,4
12,635.97,17,4
13,605.048,17,4
14,615.175,17,4
15,609.187,17,4
16,602.033,17,4
17,626.323,17,4
18,679.151,17,4
19,733.058,17,4
20,729.113,17,4
21,710.215,17,4
22,674.201,17,4
23,663.473,17,4
24,662.29,17,4
1,619.03,17,5
2,587.831,17,5
3,565.634,17,5
4,555.499,17,5
5,559.2,17,5
6,577.059,17,5
7,602.913,17,5
8,628.171,17,5
9,670.561,17,5
10,671.578,17,5
11,660.257,17,5
12,647.305,17,5
13,618.948,17,5
14,633.173,17,5
15,635.966,17,5
16,641.629,17,5
